date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:56	119/119	---M-Z	200	added ('OK')	text/plain	date:Mon,%2027%20May%202024%2019:08:35%20GMT	https://zcube.in/robots.txt		(from )
22:01:57	65312/65312	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Apr%202021%2011:38:08%20GMT	https://zcube.in/xadvices/?storefront=envato-elements	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/index04b9.html	(from )
22:01:57	766/766	---M--	200	added ('OK')	image/x-icon	date:Fri,%2023%20Apr%202021%2022:36:03%20GMT	https://zcube.in/xadvices/img/favicon.ico	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/favicon.ico	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:01:58	160403/160403	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Apr%202021%2016:37:53%20GMT	https://zcube.in/xadvices/css/bootstrap.min.css	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/css/bootstrap.min.css	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:01:59	68606/68606	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Apr%202021%2016:37:50%20GMT	https://zcube.in/xadvices/css/animate.min.css	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/css/animate.min.css	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:00	6951/6951	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Apr%202021%2016:37:56%20GMT	https://zcube.in/xadvices/css/magnific-popup.css	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/css/magnific-popup.css	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:01	156472/156472	---M-Z	200	added ('OK')	text/css	date:Fri,%2023%20Apr%202021%2022:36:30%20GMT	https://zcube.in/xadvices/fontawesome/css/all.min.css	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/fontawesome/css/all.min.css	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:02	1284/1284	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Apr%202021%2011:38:40%20GMT	https://zcube.in/xadvices/font-flaticon/flaticon.css	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/font-flaticon/flaticon.css	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:03	11111/11111	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Apr%202021%2016:37:54%20GMT	https://zcube.in/xadvices/css/dripicons.css	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/css/dripicons.css	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:04	1776/1776	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Apr%202021%2016:37:57%20GMT	https://zcube.in/xadvices/css/slick.css	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/css/slick.css	(from https://zcube.in/xadvices/?storefront=envato-elements)
